"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1090","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18404/2025-2026/257127","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","CHANDRA SHEKHAR","NAGINA(SC)","04-Sep-2026","JAVED AHMAD","Payment In-Progress","123650"
"1091","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18404/2025-2026/257126","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","CHANDRA SHEKHAR","NAGINA(SC)","04-Sep-2026","JAVED AHMAD","Payment In-Progress","1454160"
"1092","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","HANUMAN CONSTRUCTION","Payment In-Progress","358019"
"1093","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18238/2025-2026/214951","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","22-Aug-2026","MS AKHAND PRATAP TRADERS","Payment In-Progress","524573"
"1094","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/200141","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","29-Jul-2026","MS SAKET TRADERS","Payment In-Progress","442410"
"1095","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2025-2026/163013","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","23-Aug-2026","GRAM PANCHAYAT SARIKHURAD","Payment In-Progress","500000"
"1096","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2025-2026/229765","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","05-Sep-2026","PAPAIAH DAMPETLA","Payment In-Progress","495654"
"1097","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2025-2026/229764","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","05-Sep-2026","PAPAIAH DAMPETLA","Payment In-Progress","473632"
"1098","Gujarat","Construction of rainwater harvesting structures","WS/MP18057/2025-2026/208047","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","09-Sep-2026","MADHAR GRAM PANCHAYAT","Payment In-Progress","200000"
"1099","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Badami","Payment In-Progress","7980"
"1100","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Badami","Payment In-Progress","3705"
"1101","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Sopu devi","Payment In-Progress","3990"
"1102","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Sopu devi","Payment In-Progress","7980"
"1103","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","08-May-2026","Singh Construction","Payment In-Progress","911447"
"1104","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KANTILAL","Payment In-Progress","29400"
"1105","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KANTILAL","Payment In-Progress","5250"
"1106","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARTARAM","Payment In-Progress","2728"
"1107","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARTARAM","Payment In-Progress","29400"
"1108","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARNARAM","Payment In-Progress","23100"
"1109","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARNARAM","Payment In-Progress","3990"
"1110","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","GEETA","Payment In-Progress","7980"
"1111","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","GEETA","Payment In-Progress","3705"
"1112","Punjab","Construction of buildings for community cultural activities","WS/MP18155/2025-2026/250035","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","09-Sep-2026","Sandeep Cemment STore","Payment In-Progress","16854"
"1113","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARISHAN","Payment In-Progress","3705"
"1114","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARISHAN","Payment In-Progress","7980"
"1115","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","PARKASH","Payment In-Progress","4560"
"1116","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","PARKASH","Payment In-Progress","3705"
"1117","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2024-2025/143806","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","14-Aug-2026","DHANDAYUTHAPANI K","Payment In-Progress","1348754"
"1118","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/206992","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","08-Sep-2026","Roy Mathew","Payment In-Progress","299125"
"1119","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Shiv Shakti iron and Cement store","Payment In-Progress","90763"
"1120","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Shiv Shakti iron and Cement store","Payment In-Progress","19935"
"1121","West Bengal","Providing drains and gutters for public drainage","WS/MP18248/2024-2025/153846","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","03-Aug-2026","MR NUR ALAM SK","Payment In-Progress","637871"
"1122","Telangana","Construction of toilet blocks","WS/MP18192/2025-2026/216155","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","DR.MALLU RAVI","NAGARKURNOOL(SC)","03-Sep-2026","KESIREDDY MURALIDHAR REDDY","Payment In-Progress","340538"
"1123","Rajasthan","Construction of public irrigation facilities","WS/MP728/2025-2026/260961","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","31-Aug-2026","Dhaka Brothers","Payment In-Progress","1180806"
"1124","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18159/2025-2026/210307","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","26-Aug-2026","Divya Construction Company","Payment In-Progress","353100"
"1125","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","PAYARI","Payment In-Progress","3705"
"1126","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","PAYARI","Payment In-Progress","7980"
"1127","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","JETARAM","Payment In-Progress","7980"
"1128","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","JETARAM","Payment In-Progress","3705"
"1129","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Sajal Bricks Company","Payment In-Progress","48867"
"1130","Rajasthan","Construction of public libraries and reading rooms","WS/MP18162/2025-2026/210143","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","27-Aug-2026","SANWARIYA BUILDING AND MATERIAL SUPPLIERS","Payment In-Progress","375718"
"1131","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","RAMESH","Payment In-Progress","9548"
"1132","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","RAMESH","Payment In-Progress","29400"
"1133","West Bengal","Construction of community centers and community halls","WS/MP18248/2024-2025/150128","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","23-Mar-2026","HASAN SEIKH","Payment In-Progress","687844"
"1134","West Bengal","Lighting of public spaces","WS/MP498/2025-2026/231655","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","05-Sep-2026","BOND CONSTRUCTION","Payment In-Progress","377725"
"1135","Punjab","Construction of buildings for community cultural activities","WS/MP18155/2025-2026/236716","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Sep-2026","Pardeep Singh","Payment In-Progress","5000"
"1136","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP380/2026-2027/279205","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","06-Sep-2026","DASHMESH HARDWARE AND BUILDING MATERIAL STORE","Payment In-Progress","13500"
"1137","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2026-2027/278679","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","08-Sep-2026","RAM REDDY KASALA","Payment In-Progress","500000"
"1138","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2026-2027/278680","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","08-Sep-2026","RAM REDDY KASALA","Payment In-Progress","496549"
"1139","Assam","Creation of new ponds","WS/MP18019/2025-2026/154329","WEST KARBI ANGLONG(DISTRICT COMMISSIONER WEST KARBI ANGLONG)","AMARSING TISSO","Diphu (ST)","29-Aug-2026","Kramsa Agency","Payment In-Progress","78881"
"1140","Telangana","Installation of multi-gym equipment","WS/MP770/2025-2026/180892","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","05-Sep-2026","DUGGU MAHENDER RAKESH","Payment In-Progress","297833"
"1141","Assam","Construction of buildings for community cultural activities","WS/MP18023/2024-2025/144134","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","GUWAHATI","08-Sep-2026","DURGA ENTERPRISE","Payment In-Progress","81900"
"1142","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/160124","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","Pred Sagara","Payment In-Progress","115911"
"1143","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/160123","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","Pred Sagara","Payment In-Progress","121570"
"1144","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/160128","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","Pred Sagara","Payment In-Progress","122876"
"1145","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/160126","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","Pred Sagara","Payment In-Progress","122046"
"1146","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243429","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","12-Aug-2026","MANBEER SINGH","Payment In-Progress","409218"
"1147","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243432","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","12-Aug-2026","MANBEER SINGH","Payment In-Progress","328637"
"1148","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243411","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","12-Aug-2026","MANBEER SINGH","Payment In-Progress","118831"
"1149","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243385","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","12-Aug-2026","MANBEER SINGH","Payment In-Progress","308218"
"1150","Kerala","Lighting of public spaces","WS/MP353/2025-2026/210778","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","20-Aug-2026","KALLOOR ELECTRONICS AND  LIGHTING PVT LTD","Payment In-Progress","220427"
"1151","Kerala","Street lights","WS/MP348/2025-2026/176522","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Benny Behanan","CHALAKUDY","03-Sep-2026","KALLOOR ELECTRONICS AND  LIGHTING PVT LTD","Payment In-Progress","181795"
"1152","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP18210/2026-2027/271350","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","03-Sep-2026","Siddharth Construction and suppliers","Payment In-Progress","399399"
"1153","Odisha","Construction of rooms and halls in school and colleges","WS/MP18145/2026-2027/160339","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","BAIJAYANT PANDA","KENDRAPARA","09-Sep-2026","ambar kumar rout ac je","Payment In-Progress","635000"
"1154","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/266994","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","19-Aug-2026","NITHESH P","Payment In-Progress","499724"
"1155","Karnataka","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18083/2025-2026/266993","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","19-Aug-2026","NITHESH P","Payment In-Progress","498711"
"1156","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2024-2025/142735","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","01-Sep-2026","Sekhon Cement and Shuttering Store Purkhali","Payment In-Progress","5010"
"1157","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/186117","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","03-Sep-2026","ABDULRAZACK T K","Payment In-Progress","359683"
"1158","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/186118","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","03-Sep-2026","ABDULRAZACK T K","Payment In-Progress","359780"
"1159","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/232294","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","06-Aug-2026","GRAM PANCHYAT SATHUR","Payment In-Progress","22620"
"1160","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/232294","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","06-Aug-2026","GRAM PANCHYAT SATHUR","Payment In-Progress","42150"
"1161","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/232294","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","06-Aug-2026","GRAM PANCHYAT SATHUR","Payment In-Progress","30030"
"1162","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/232294","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","06-Aug-2026","GRAM PANCHYAT SATHUR","Payment In-Progress","186470"
"1163","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/232294","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","06-Aug-2026","GRAM PANCHYAT SATHUR","Payment In-Progress","213839"
"1164","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18160/2025-2026/230807","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","08-Sep-2026","Jasnath Computer sale and service","Payment In-Progress","300000"
"1165","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP380/2026-2027/279205","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","06-Sep-2026","DASHMESH TILES","Payment In-Progress","82810"
"1166","Madhya Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP18105/2026-2027/288262","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","09-Sep-2026","Micro Sales and Servises","Payment In-Progress","187000"
"1167","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/287018","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","31-Aug-2026","MANPURA SHI GRAM PANCHAYAT","Payment In-Progress","299891"
"1168","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18231/2026-2027/253362","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","RUCHI VIRA","MORADABAD","06-Sep-2026","NATIONAL INFRATECH","Payment In-Progress","658558"
"1169","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18231/2026-2027/253361","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","RUCHI VIRA","MORADABAD","06-Sep-2026","NATIONAL INFRATECH","Payment In-Progress","658558"
"1170","Madhya Pradesh","Installing tube-wells and borewells","WS/MP643/2024-2025/146340","Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA)","Gyaneshwar Patil","KHANDWA","10-Jun-2025","Kamdhenu Agency","Payment In-Progress","150000"
"1171","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/270760","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Faggan Singh Kulaste","MANDLA(ST)","09-Sep-2026","GRAM PANCHAYAT KANDHRAPUR","Payment In-Progress","100000"
"1172","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2026-2027/261881","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","457000"
"1173","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2026-2027/263169","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","457768"
"1174","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2026-2027/263987","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","457799"
"1175","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240514","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","309929"
"1176","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240490","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","300000"
"1177","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240475","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","299867"
"1178","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240499","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","30-Jul-2026","JAI PRAKASH","Payment In-Progress","305000"
"1179","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2025-2026/264861","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","09-Sep-2026","Nawlesh Kumar Singh","Payment In-Progress","985387"
"1180","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/251804","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","18-Aug-2026","MOHAMMED RAHEEMUDDIN","Payment In-Progress","357411"
"1181","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/251805","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","18-Aug-2026","MOHAMMED RAHEEMUDDIN","Payment In-Progress","317906"
"1182","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/250171","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","18-Aug-2026","MOHAMMED RAHEEMUDDIN","Payment In-Progress","307074"
"1183","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/250167","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","18-Aug-2026","MOHAMMED RAHEEMUDDIN","Payment In-Progress","356537"
"1184","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/250170","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","18-Aug-2026","MOHAMMED RAHEEMUDDIN","Payment In-Progress","324206"
"1185","Punjab","Street lights","WS/MP18152/2026-2027/293489","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1186","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18152/2026-2027/293487","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1187","Punjab","Street lights","WS/MP18152/2026-2027/293496","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1188","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18152/2026-2027/293485","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1189","Punjab","Street lights","WS/MP18152/2026-2027/293501","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","198000"
"1190","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18152/2026-2027/293494","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1191","Punjab","Street lights","WS/MP18152/2026-2027/293495","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","198000"
