"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2637","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","sumitra kanwar","Payment In-Progress","3510"
"2638","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","sumitra kanwar","Payment In-Progress","3240"
"2639","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Teju kumari meena","Payment In-Progress","3510"
"2640","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241155","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","JAI ENTERPRISES","Payment In-Progress","287212"
"2641","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241135","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","11-Aug-2026","JAI ENTERPRISES","Payment In-Progress","300428"
"2642","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18223/2025-2026/256013","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IQRA CHOUDHARY","KAIRANA","11-Aug-2026","MILIND CHOUDHARY","Payment In-Progress","1040909"
"2643","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18223/2025-2026/256028","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IQRA CHOUDHARY","KAIRANA","11-Aug-2026","MILIND CHOUDHARY","Payment In-Progress","689191"
"2644","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Mangi Devi Mina","Payment In-Progress","3240"
"2645","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186128","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","13-Aug-2026","Mangi Devi Mina","Payment In-Progress","3510"
"2646","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/240968","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","14-Aug-2026","MS VAISHNAVI TRADERS","Payment In-Progress","704106"
