"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3656","Punjab","Construction of community centers and community halls","WS/MP235/2025-2026/263616","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Joginder Singh","Payment Success","100000"
"3657","Punjab","Construction of community centers and community halls","WS/MP235/2025-2026/263616","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Karnawal Cemet Store","Payment Success","50060"
"3658","Punjab","Creation of new ponds","WS/MP235/2025-2026/263615","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Gurnam Singh","Payment Success","75000"
"3659","Punjab","Creation of new ponds","WS/MP235/2025-2026/263615","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Gurnam Singh","Payment Success","78000"
"3660","Punjab","Creation of new ponds","WS/MP235/2025-2026/263615","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Gurnam Singh","Payment Success","47000"
"3661","Punjab","Creation of new ponds","WS/MP235/2025-2026/263615","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Feb-2026","Malkeet Singh","Payment Success","100000"
"3662","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244418","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","12-Feb-2026","SINGH CLEANERS","Payment Success","28213"
"3663","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244418","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","12-Feb-2026","FONE ZONE","Payment Success","35408"
"3664","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244418","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","12-Feb-2026","J K CROCKERIES SANGRUR","Payment Success","44933"
"3665","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/258123","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","13-May-2026","Construction of Santipur bye Lane 2 at Dimoria","Payment Success","800000"
"3666","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP073/2025-2026/258123","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","21-Feb-2026","Construction of Santipur bye Lane 2 at Dimoria","Payment Success","1200000"
"3667","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/218281","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","24-Apr-2026","LAXMI CONSTRUCTION COMPANY","Payment Success","398884"
"3668","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/218282","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","24-Apr-2026","LAXMI CONSTRUCTION COMPANY","Payment Success","297979"
"3669","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/218283","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","24-Apr-2026","LAXMI CONSTRUCTION COMPANY","Payment Success","188165"
"3670","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP843/2025-2026/259152","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","04-Aug-2026","MOHIT CONSTRUCTOR","Payment Success","440662"
"3671","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP843/2025-2026/259152","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","19-Jun-2026","MOHIT CONSTRUCTOR","Payment Success","1101430"
"3672","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","01-Jul-2026","MS GURDEV BRICKS CO","Payment Success","29680"
"3673","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","01-Jul-2026","MS GURDEV BRICKS CO","Payment Success","23744"
"3674","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","MS GURDEV BRICKS CO","Payment Success","35510"
"3675","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","MS GURDEV BRICKS CO","Payment Success","35510"
"3676","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","MS GURDEV BRICKS CO","Payment Success","35510"
"3677","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","MS GURDEV BRICKS CO","Payment Success","35510"
"3678","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","MS GURDEV BRICKS CO","Payment Success","35510"
"3679","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","74804"
"3680","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","19817"
"3681","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","45500"
"3682","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","24500"
"3683","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","41785"
"3684","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","HANS RAJ HARI RAM","Payment Success","4460"
"3685","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","01-Jul-2026","HANS RAJ HARI RAM","Payment Success","32967"
"3686","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","01-Jul-2026","HANS RAJ HARI RAM","Payment Success","40448"
"3687","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202245","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","21-Jul-2026","HANS RAJ HARI RAM","Payment Success","14645"
"3688","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","SAHI ENTERPRISES","Payment Success","9923"
"3689","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","SAHI ENTERPRISES","Payment Success","14175"
"3690","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","SAHI ENTERPRISES","Payment Success","24570"
"3691","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","25-Feb-2026","AMIT KUMAR CONTRACTOR","Payment Success","39008"
"3692","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","03-Jul-2026","DINESH KUMAR","Payment Success","20000"
"3693","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202258","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","03-Jul-2026","DINESH KUMAR","Payment Success","110100"
"3694","Punjab","Renovation of ponds and lakes","WS/MP843/2025-2026/219625","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","14-Feb-2026","JASWAL FILLING STATION","Payment Success","13098"
"3695","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","14-Aug-2026","SHIV SHANKAR ENTERPRISES","Payment Success","29024"
"3696","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","MOHIT ENGINEERING","Payment Success","25965"
"3697","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","MOHIT ENGINEERING","Payment Success","40163"
"3698","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","K K BRICKS","Payment Success","42000"
"3699","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","K K BRICKS","Payment Success","42000"
"3700","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","K K BRICKS","Payment Success","16800"
"3701","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","K K BRICKS","Payment Success","33600"
"3702","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","K K BRICKS","Payment Success","25200"
"3703","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","48781"
"3704","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","47784"
"3705","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","49586"
"3706","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","49324"
"3707","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","27825"
"3708","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","42000"
"3709","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","14175"
"3710","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","35990"
"3711","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","30-Mar-2026","PANDIT TRADERS","Payment Success","14396"
"3712","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","14-Aug-2026","PANDIT TRADERS","Payment Success","35438"
"3713","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","14-Aug-2026","PANDIT TRADERS","Payment Success","46726"
"3714","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","14-Aug-2026","PANDIT TRADERS","Payment Success","55106"
"3715","Tamil Nadu","Setting up of laboratories","WS/MP162/2026-2027/283146","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","28-Jul-2026","SRI SAI ENTERPRISES","Payment Success","625000"
"3716","Tamil Nadu","Setting up of laboratories","WS/MP162/2026-2027/283144","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","28-Jul-2026","SRI SAI ENTERPRISES","Payment Success","625000"
"3717","Tamil Nadu","Setting up of laboratories","WS/MP162/2026-2027/283142","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","28-Jul-2026","SRI SAI ENTERPRISES","Payment Success","625000"
"3718","Tamil Nadu","Setting up of laboratories","WS/MP162/2026-2027/283143","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","28-Jul-2026","SRI SAI ENTERPRISES","Payment Success","625000"
"3719","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253077","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3720","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253042","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3721","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253044","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3722","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253046","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3723","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253047","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3724","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253049","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3725","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253071","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3726","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253060","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3727","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253074","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3728","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253073","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3729","Tamil Nadu","Purchase of sports equipment","WS/MP162/2025-2026/253075","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","17-Feb-2026","SRI SAI ENTERPRISES","Payment Success","472875"
"3730","Tamil Nadu","Purchase of sports equipment","WS/MP162/2026-2027/283158","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","31-Aug-2026","SRI SAI ENTERPRISES","Payment Success","467000"
"3731","Tamil Nadu","Purchase of sports equipment","WS/MP162/2026-2027/283157","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","31-Aug-2026","SRI SAI ENTERPRISES","Payment Success","467000"
"3732","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2025-2026/223319","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","20-Feb-2026","BIKASH  SAIKIA","Payment Success","1150000"
"3733","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Feb-2026","Sai Steels","Payment Success","15200"
"3734","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Feb-2026","Sai Steels","Payment Success","7000"
"3735","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2024-2025/182839","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","17-Feb-2026","ANAMIKA CONSTRACTION","Payment Success","1500000"
"3736","Assam","Construction of common work sheds/ common covered sitting area","WS/MP071/2025-2026/223325","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","13-Feb-2026","KF SYSTEM","Payment Success","1492462"
"3737","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190649","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","17-Feb-2026","IMMALRAJU VENKATASATYA NARAYANARAJU","Payment Success","2207516"
"3738","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190649","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","24-Jul-2026","IMMALRAJU VENKATASATYA NARAYANARAJU","Payment Success","3704089"
"3739","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/241043","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","13-Feb-2026","GRAM PANCHAYAT MANDGI TQ DEGLOOR","Payment Success","497538"
"3740","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","Apt Dental Distributor","Payment Success","433800"
"3741","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","Parag Enterprises","Payment Success","240000"
"3742","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","My Computer","Payment Success","33150"
"3743","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/146820","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Smt Ritu Kumari MS Sandeep Engg Works","Payment Success","93435"
"3744","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252925","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"3745","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252926","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"3746","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252927","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"3747","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252928","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","11-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"3748","Tamil Nadu","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18435/2025-2026/252931","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","27-Feb-2026","CHENDHOOR ENTERPRISES","Payment Success","625000"
"3749","Tamil Nadu","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18435/2025-2026/252932","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","27-Feb-2026","CHENDHOOR ENTERPRISES","Payment Success","625000"
"3750","Puducherry","Providing CCTV camera system for security of public areas","WS/MP139/2025-2026/229073","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","09-Feb-2026","Muthuraman Trading Company","Payment Success","353646"
"3751","Puducherry","Installing community drinking water plants","WS/MP139/2025-2026/229074","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","09-Feb-2026","Hi flow sweet water technology","Payment Success","252700"
"3752","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/240641","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","05-Feb-2026","CHANDRA SINGH PARPAR TRADERS","Payment Success","204611"
"3753","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2026-2027/277339","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jun-2026","CHANDRA SINGH PARPAR TRADERS","Payment Success","202014"
"3754","Delhi","Street lights","WS/MP879/2025-2026/195174","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","11-Feb-2026","D K ASSOCIATES","Payment Success","747467"
"3755","Delhi","Lighting of public spaces","WS/MP878/2025-2026/209492","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","07-Mar-2026","D K ASSOCIATES","Payment Success","732362"
"3756","Rajasthan","Construction of public libraries and reading rooms","WS/MP146/2023-2024/14908","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","30-Jul-2026","RAMDEV CONSTRUCTION COMPANY","Payment Success","299878"
